Year,PercentageOfReturn(%)
2000,0.09470240486713077
2001,-2.882465093609332
2002,14.385454760156314
2003,17.271560011872044
2004,12.572728598191517
2005,8.707222662092029
2006,35.85377312894662
2007,15.286860289640192
2008,25.11582845332414
2009,11.616173783163376
2010,25.869146506661078
2011,28.13400246924871
2012,6.392193274199576
2013,-15.456916307580993
2014,-10.335666139081322
2015,-8.289888098560494
2016,7.609874700925245
2017,0.6862355763225914
2018,0.9278292310738623
2019,9.71228944861715
2020,27.127938424328057
2021,1.659366396008699
2022,0.05406669930303476
2023,7.8898057427460255
2024,22.908518499834774
